,Crime,Date,Latitude,Longitude
274,DECEPTIVE PRACTICE,2020-04-03T12:30:00.000,41.872555115,-87.724062358
275,BATTERY,2020-04-03T12:29:00.000,41.73871439,-87.55388955299999
276,ASSAULT,2020-04-03T12:19:00.000,41.756453516,-87.622430827
277,THEFT,2020-04-03T12:15:00.000,41.697088836999995,-87.659848026
278,THEFT,2020-04-03T12:04:00.000,41.796216156999996,-87.723245665
279,ASSAULT,2020-04-03T12:00:00.000,41.880318706,-87.75923718600001
280,ASSAULT,2020-04-03T12:00:00.000,41.743445021999996,-87.60137277
281,BATTERY,2020-04-03T12:00:00.000,41.914403235,-87.71913071899999
282,THEFT,2020-04-03T12:00:00.000,41.954323081,-87.666436795
283,CRIMINAL DAMAGE,2020-04-03T12:00:00.000,,
284,THEFT,2020-04-03T12:00:00.000,41.781406759,-87.721472173
285,THEFT,2020-04-03T12:00:00.000,41.944790235999996,-87.656681331
286,ASSAULT,2020-04-03T11:55:00.000,41.901637857,-87.71774333399999
287,ASSAULT,2020-04-03T11:54:00.000,41.764669618,-87.68500551
288,NARCOTICS,2020-04-03T11:50:00.000,41.964296453,-87.66376630299999
289,BATTERY,2020-04-03T11:41:00.000,41.771907116,-87.64458193799999
290,CRIMINAL DAMAGE,2020-04-03T11:40:00.000,41.909434895,-87.760838981
291,CRIMINAL DAMAGE,2020-04-03T11:40:00.000,41.808564273,-87.66910615200001
292,MOTOR VEHICLE THEFT,2020-04-03T11:30:00.000,41.894539838,-87.624243916
293,THEFT,2020-04-03T11:30:00.000,41.764932153000004,-87.576272783
294,ASSAULT,2020-04-03T11:27:00.000,41.765162688000004,-87.624896894
295,OTHER OFFENSE,2020-04-03T11:20:00.000,41.919521021,-87.73153035799999
296,BATTERY,2020-04-03T11:18:00.000,41.720634106,-87.568888239
297,THEFT,2020-04-03T11:15:00.000,41.881183104,-87.68498211
298,BATTERY,2020-04-03T11:14:00.000,41.695935536,-87.612244719
299,CRIMINAL DAMAGE,2020-04-03T11:11:00.000,41.750133415,-87.62822477700001
300,ASSAULT,2020-04-03T11:09:00.000,41.986500621,-87.660157096
301,ASSAULT,2020-04-03T11:08:00.000,41.774441511,-87.57591533799999
302,THEFT,2020-04-03T11:01:00.000,41.700099495,-87.529243292
303,THEFT,2020-04-03T11:00:00.000,41.767158134,-87.576327256
304,THEFT,2020-04-03T11:00:00.000,41.946389104,-87.65187106100001
305,BURGLARY,2020-04-03T11:00:00.000,41.858153571,-87.71030862399999
306,BATTERY,2020-04-03T10:50:00.000,41.965722052,-87.666829028
307,BATTERY,2020-04-03T10:45:00.000,41.871035926,-87.683711494
308,CRIMINAL DAMAGE,2020-04-03T10:30:00.000,41.912076368,-87.726401686
309,THEFT,2020-04-03T10:30:00.000,41.657321724,-87.60642536299999
310,CRIMINAL DAMAGE,2020-04-03T10:30:00.000,41.85376402,-87.64652343200001
311,BATTERY,2020-04-03T10:30:00.000,41.802741802,-87.614987506
312,ASSAULT,2020-04-03T10:30:00.000,41.750304129,-87.667416675
313,THEFT,2020-04-03T10:25:00.000,41.984651741,-87.789163768
314,ASSAULT,2020-04-03T10:25:00.000,41.968010333,-87.76748157200001
315,CRIMINAL DAMAGE,2020-04-03T10:20:00.000,41.869047845,-87.62412552299999
316,OTHER OFFENSE,2020-04-03T10:15:00.000,41.982095185,-87.768360961
317,BATTERY,2020-04-03T10:15:00.000,41.986112530999996,-87.65669266399999
318,NARCOTICS,2020-04-03T10:15:00.000,41.844162699,-87.695199039
319,THEFT,2020-04-03T10:14:00.000,41.759333905,-87.632071481
320,BATTERY,2020-04-03T10:10:00.000,41.781901182,-87.786309323
321,CRIMINAL TRESPASS,2020-04-03T10:05:00.000,41.982985416,-87.71531629200001
322,BATTERY,2020-04-03T10:05:00.000,42.007887703,-87.66701824
323,CRIMINAL DAMAGE,2020-04-03T10:05:00.000,41.74221153,-87.66323147700001
324,MOTOR VEHICLE THEFT,2020-04-03T10:00:00.000,41.76265,-87.64677388
325,DECEPTIVE PRACTICE,2020-04-03T10:00:00.000,41.919053074000004,-87.69864585399999
326,BATTERY,2020-04-03T10:00:00.000,41.747672078,-87.60107190299999
327,THEFT,2020-04-03T10:00:00.000,41.77113044,-87.571544262
328,BATTERY,2020-04-03T10:00:00.000,41.884812928,-87.714173749
329,BATTERY,2020-04-03T10:00:00.000,41.802973746999996,-87.682455581
330,THEFT,2020-04-03T09:50:00.000,41.866988841,-87.657205006
331,BATTERY,2020-04-03T09:45:00.000,41.763448937,-87.560008415
332,WEAPONS VIOLATION,2020-04-03T09:45:00.000,41.828105708,-87.628940177
333,BATTERY,2020-04-03T09:37:00.000,41.858065739000004,-87.710305805
334,DECEPTIVE PRACTICE,2020-04-03T09:35:00.000,41.774565636999995,-87.781140173
335,ASSAULT,2020-04-03T09:34:00.000,41.942464727,-87.74783680200001
336,ASSAULT,2020-04-03T09:30:00.000,41.928508063,-87.736730361
337,BURGLARY,2020-04-03T09:26:00.000,41.740989245,-87.64862055399999
338,CRIMINAL DAMAGE,2020-04-03T09:10:00.000,,
339,MOTOR VEHICLE THEFT,2020-04-03T09:00:00.000,,
340,DECEPTIVE PRACTICE,2020-04-03T09:00:00.000,41.760634716,-87.581725895
341,THEFT,2020-04-03T09:00:00.000,41.751229121,-87.608496532
342,ROBBERY,2020-04-03T09:00:00.000,41.881058789,-87.698092933
343,MOTOR VEHICLE THEFT,2020-04-03T09:00:00.000,41.797215185,-87.59812807799999
344,OTHER OFFENSE,2020-04-03T09:00:00.000,41.758346414,-87.561510075
345,OTHER OFFENSE,2020-04-03T09:00:00.000,41.870829345,-87.716419864
346,THEFT,2020-04-03T09:00:00.000,41.765306066,-87.584754086
347,OTHER OFFENSE,2020-04-03T08:49:00.000,41.759432839,-87.558202048
348,ROBBERY,2020-04-03T08:45:00.000,41.773382411,-87.58221496899999
